DBPediaURI;searchwrap_q=CatchPetrovaFire&extern=true;searchwrap_q=CatchPetrovaFire&extern=true.1;searchwrap_q=CatchPetrovaFire&extern=true.10;searchwrap_q=CatchPetrovaFire&extern=true.11;searchwrap_q=CatchPetrovaFire&extern=true.12;searchwrap_q=CatchPetrovaFire&extern=true.13;searchwrap_q=CatchPetrovaFire&extern=true.14;searchwrap_q=CatchPetrovaFire&extern=true.15;searchwrap_q=CatchPetrovaFire&extern=true.16;searchwrap_q=CatchPetrovaFire&extern=true.17;searchwrap_q=CatchPetrovaFire&extern=true.18;searchwrap_q=CatchPetrovaFire&extern=true.19;searchwrap_q=CatchPetrovaFire&extern=true.2;searchwrap_q=CatchPetrovaFire&extern=true.20;searchwrap_q=CatchPetrovaFire&extern=true.21;searchwrap_q=CatchPetrovaFire&extern=true.22;searchwrap_q=CatchPetrovaFire&extern=true.23;searchwrap_q=CatchPetrovaFire&extern=true.24;searchwrap_q=CatchPetrovaFire&extern=true.25;searchwrap_q=CatchPetrovaFire&extern=true.26;searchwrap_q=CatchPetrovaFire&extern=true.27;searchwrap_q=CatchPetrovaFire&extern=true.28;searchwrap_q=CatchPetrovaFire&extern=true.29;searchwrap_q=CatchPetrovaFire&extern=true.3;searchwrap_q=CatchPetrovaFire&extern=true.30;searchwrap_q=CatchPetrovaFire&extern=true.31;searchwrap_q=CatchPetrovaFire&extern=true.32;searchwrap_q=CatchPetrovaFire&extern=true.33;searchwrap_q=CatchPetrovaFire&extern=true.34;searchwrap_q=CatchPetrovaFire&extern=true.35;searchwrap_q=CatchPetrovaFire&extern=true.36;searchwrap_q=CatchPetrovaFire&extern=true.37;searchwrap_q=CatchPetrovaFire&extern=true.38;searchwrap_q=CatchPetrovaFire&extern=true.39;searchwrap_q=CatchPetrovaFire&extern=true.4;searchwrap_q=CatchPetrovaFire&extern=true.40;searchwrap_q=CatchPetrovaFire&extern=true.41;searchwrap_q=CatchPetrovaFire&extern=true.42;searchwrap_q=CatchPetrovaFire&extern=true.43;searchwrap_q=CatchPetrovaFire&extern=true.44;searchwrap_q=CatchPetrovaFire&extern=true.45;searchwrap_q=CatchPetrovaFire&extern=true.46;searchwrap_q=CatchPetrovaFire&extern=true.47;searchwrap_q=CatchPetrovaFire&extern=true.5;searchwrap_q=CatchPetrovaFire&extern=true.6;searchwrap_q=CatchPetrovaFire&extern=true.7;searchwrap_q=CatchPetrovaFire&extern=true.8;searchwrap_q=CatchPetrovaFire&extern=true.9
http://dbpedia.org/resource/The_O.C.;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Miley_Cyrus;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/lol;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/LOL;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Lol;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Tomar_Rajputs;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/RT!;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
http://dbpedia.org/resource/Statue_of_Liberty;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Debt_consolidation;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Debt_Consolidation;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/VAMPIRE;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Vampire;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
http://dbpedia.org/resource/the_vampire_diaries;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
http://dbpedia.org/resource/The_Vampire_Diaries;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
http://dbpedia.org/resource/LOL!_(program);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/aden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/vampire;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
http://dbpedia.org/resource/Psychopathy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
http://dbpedia.org/resource/Eastern_Time_Zone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
http://dbpedia.org/resource/hell;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
